Year,Month,"Targeting Events","Targeting Fatalities","Demonstration Events","Violence Events","Violence Fatalities"
2016,January,22,4,17,100,29
2016,February,24,1,20,93,25
2016,March,24,0,40,66,19
2016,April,22,1,10,61,4
2016,May,25,8,17,56,13
2016,June,18,2,10,66,12
2016,July,22,3,9,62,10
2016,August,22,3,8,63,6
2016,September,28,5,11,73,15
2016,October,32,4,14,93,13
2016,November,15,0,6,56,10
2016,December,19,1,10,48,5
2017,January,27,3,29,64,13
2017,February,36,4,34,72,4
2017,March,20,1,38,64,12
2017,April,15,1,76,61,4
2017,May,12,2,106,71,8
2017,June,12,1,18,69,13
2017,July,18,4,47,117,23
2017,August,14,1,15,59,4
2017,September,9,1,14,49,5
2017,October,15,1,9,53,13
2017,November,9,1,22,34,1
2017,December,17,1,151,171,8
2018,January,6,4,47,85,11
2018,February,15,4,62,97,10
2018,March,24,4,48,111,13
2018,April,25,3,67,115,6
2018,May,17,3,76,113,22
2018,June,20,3,37,116,5
2018,July,19,3,44,106,25
2018,August,24,3,33,119,11
2018,September,29,4,68,111,22
2018,October,18,2,81,121,13
2018,November,29,5,40,109,21
2018,December,19,2,56,117,11
2019,January,29,0,53,120,7
2019,February,47,1,76,123,2
2019,March,64,2,133,235,13
2019,April,55,1,51,154,5
2019,May,41,20,48,138,32
2019,June,21,1,60,76,1
2019,July,16,3,37,57,4
2019,August,16,2,45,94,16
2019,September,12,0,47,82,1
2019,October,33,1,44,93,3
2019,November,27,29,58,118,45
2019,December,22,1,27,86,2
2020,January,12,0,47,68,3
2020,February,17,0,43,108,8
2020,March,21,1,5,67,2
2020,April,19,0,3,55,1
2020,May,26,1,24,80,7
2020,June,5,1,40,52,2
2020,July,4,2,31,42,2
2020,August,15,1,40,87,3
2020,September,11,1,45,52,1
2020,October,23,2,57,97,3
2020,November,23,0,55,96,2
2020,December,22,2,39,123,4
2021,January,31,1,52,120,4
2021,February,42,3,53,113,4
2021,March,41,3,41,102,3
2021,April,38,1,97,161,2
2021,May,159,177,266,707,290
2021,June,36,4,99,97,12
2021,July,25,3,82,107,6
2021,August,26,0,63,89,6
2021,September,31,5,126,160,13
2021,October,21,0,94,110,1
2021,November,24,0,103,140,4
2021,December,37,1,84,178,7
2022,January,43,1,126,148,5
2022,February,43,0,119,148,6
2022,March,75,2,80,210,11
2022,April,78,3,89,270,23
2022,May,54,2,111,243,9
2022,June,50,1,74,171,13
2022,July,70,2,50,150,6
2022,August,69,27,112,193,55
2022,September,15,0,16,43,6
